City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Puri,IN,2022-04-17 22:46:41,19.8,85.85,79.32,87,98,18.41
60,Mankera,PK,2022-04-17 22:46:41,31.3866,71.4407,80.71,16,81,2.48
61,Xining,CN,2022-04-17 22:43:23,36.6167,101.7667,33.6,53,80,1.14
62,Tuatapere,NZ,2022-04-17 22:44:27,-46.1333,167.6833,56.41,66,10,3.91
63,Castro,BR,2022-04-17 22:46:42,-24.7911,-50.0119,53.02,90,2,4.63
64,Port-Gentil,GA,2022-04-17 22:46:42,-0.7193,8.7815,80.56,94,75,3.44
65,Biltine,TD,2022-04-17 22:46:42,14.5333,20.9167,91.74,29,89,5.77
66,Khatanga,RU,2022-04-17 22:46:43,71.9667,102.5,4.91,96,98,12.19
67,Portland,US,2022-04-17 22:43:27,45.5234,-122.6762,60.75,44,100,5.75
68,Kenai,US,2022-04-17 22:46:43,60.5544,-151.2583,45.03,58,100,3.44
69,Sipe Sipe,BO,2022-04-17 22:46:44,-17.45,-66.3833,68.49,65,5,1.36
70,Kaka,TM,2022-04-17 22:46:44,37.3482,59.6143,52.2,86,100,8.99
71,Korla,CN,2022-04-17 22:46:44,41.7597,86.1469,54.43,16,1,8.16
72,Arraial Do Cabo,BR,2022-04-17 22:46:45,-22.9661,-42.0278,73.26,78,0,10.36
73,Codrington,AU,2022-04-17 22:46:45,-38.2667,141.9667,59.41,79,100,10.0
74,Port Alfred,ZA,2022-04-17 22:46:45,-33.5906,26.891,58.17,91,16,1.99
75,Mankayan,PH,2022-04-17 22:46:46,16.85,120.8,62.87,89,81,3.49
76,Sambava,MG,2022-04-17 22:46:46,-14.2667,50.1667,74.7,88,81,8.99
77,Oktyabrskiy,RU,2022-04-17 22:46:46,54.4815,53.471,42.24,85,97,5.5
78,Tecoanapa,MX,2022-04-17 22:46:47,16.5167,-98.75,85.44,51,30,11.9
79,Bambous Virieux,MU,2022-04-17 22:46:47,-20.3428,57.7575,77.25,94,75,0.0
80,Carnarvon,AU,2022-04-17 22:46:47,-24.8667,113.6333,66.27,82,99,12.66
81,Ribeira Grande,PT,2022-04-17 22:46:48,38.5167,-28.7,58.17,70,33,19.17
82,Curuguaty,PY,2022-04-17 22:46:48,-24.4694,-55.6945,64.33,73,12,3.65
83,Klaksvik,FO,2022-04-17 22:46:48,62.2266,-6.589,47.32,96,100,10.92
84,Petropavlovsk-Kamchatskiy,RU,2022-04-17 22:46:49,53.0452,158.6483,32.59,51,0,6.71
85,Dingle,PH,2022-04-17 22:46:49,10.9995,122.6711,77.92,85,81,8.1
86,Muros,ES,2022-04-17 22:46:49,42.7762,-9.0603,57.83,79,24,12.3
87,Carauari,BR,2022-04-17 22:46:50,-4.8828,-66.8958,75.38,96,98,3.29
88,Chagoda,RU,2022-04-17 22:46:50,59.164,35.3285,28.83,97,100,2.42
89,Saint-Philippe,RE,2022-04-17 22:46:32,-21.3585,55.7679,74.79,88,67,11.81
90,New Norfolk,AU,2022-04-17 22:46:51,-42.7826,147.0587,55.65,69,100,1.99
91,Sitka,US,2022-04-17 22:46:51,57.0531,-135.33,46.29,53,75,8.05
92,Guerrero Negro,MX,2022-04-17 22:45:27,27.9769,-114.0611,67.19,61,91,19.95
93,Pevek,RU,2022-04-17 22:47:51,69.7008,170.3133,7.99,87,29,0.96
94,Sao Filipe,CV,2022-04-17 22:47:52,14.8961,-24.4956,71.98,77,2,8.68
95,Obo,CF,2022-04-17 22:47:52,5.3998,26.4869,72.1,68,38,2.73
96,Namatanai,PG,2022-04-17 22:47:52,-3.6667,152.4333,84.58,70,93,10.27
97,Lagoa Vermelha,BR,2022-04-17 22:47:53,-28.2086,-51.5258,54.7,79,60,1.97
98,Lavrentiya,RU,2022-04-17 22:47:53,65.5833,-171.0,30.58,98,100,14.23
99,Lata,PT,2022-04-17 22:47:53,40.1629,-8.3327,56.91,97,62,0.94
100,Airai,TL,2022-04-17 22:47:54,-8.9266,125.4092,64.13,82,78,1.99
101,Severo-Kurilsk,RU,2022-04-17 22:47:54,50.6789,156.125,32.11,77,88,6.31
102,Byron Bay,AU,2022-04-17 22:47:54,-28.65,153.6167,67.89,80,69,7.07
103,Kirakira,SB,2022-04-17 22:47:55,-10.4544,161.9205,84.51,69,89,8.39
104,Bredasdorp,ZA,2022-04-17 22:45:47,-34.5322,20.0403,59.74,94,80,4.38
105,Kodiak,US,2022-04-17 22:47:55,57.79,-152.4072,42.31,75,100,12.66
106,Jamestown,US,2022-04-17 22:47:28,42.097,-79.2353,42.03,40,40,10.36
107,Naze,JP,2022-04-17 22:47:56,28.3667,129.4833,61.72,56,50,4.92
108,Dyersburg,US,2022-04-17 22:47:56,36.0345,-89.3856,51.94,93,100,8.05
109,Khuzhir,RU,2022-04-17 22:47:56,53.1939,107.3397,38.93,75,94,8.46
110,Vao,NC,2022-04-17 22:47:57,-22.6667,167.4833,76.91,71,40,3.33
111,Port Blair,IN,2022-04-17 22:47:57,11.6667,92.75,80.62,76,83,2.66
112,Vanderhoof,CA,2022-04-17 22:45:12,54.0166,-124.0198,48.74,30,89,2.33
113,Kavieng,PG,2022-04-17 22:47:57,-2.5744,150.7967,85.24,66,83,13.82
114,Mar Del Plata,AR,2022-04-17 22:43:19,-38.0023,-57.5575,65.08,90,0,11.99
115,Ugoofaaru,MV,2022-04-17 22:47:58,5.6667,73.0,83.73,75,100,8.72
116,Marawi,PH,2022-04-17 22:47:58,7.9986,124.2928,71.4,90,87,0.74
117,Krasnoselkup,RU,2022-04-17 22:47:58,65.7,82.4667,10.33,95,87,11.36
118,Burgos,ES,2022-04-17 22:47:59,42.3394,-3.7079,45.01,87,100,13.8
119,Narsaq,GL,2022-04-17 22:45:42,60.9167,-46.05,34.02,91,92,4.81
120,Manbij,SY,2022-04-17 22:47:59,36.5281,37.9549,62.29,30,95,9.95
121,The Valley,AI,2022-04-17 22:48:00,18.217,-63.0578,78.94,78,40,19.57
122,Chitral,PK,2022-04-17 22:44:19,35.8462,71.7858,60.3,45,31,4.23
123,Touros,BR,2022-04-17 22:44:15,-5.1989,-35.4608,79.88,79,65,7.76
124,Axim,GH,2022-04-17 22:48:00,4.8699,-2.2405,79.54,85,86,9.57
125,Nanortalik,GL,2022-04-17 22:48:00,60.1432,-45.2371,29.39,89,51,9.71
