City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
69,Stornoway,GB,58.2093,-6.3865,48.16,93,75,20.71,broken clouds
70,Kapaa,US,22.0752,-159.319,82.38,85,40,18.41,light rain
71,Batsfjord,NO,70.6345,29.7185,40.78,87,100,11.5,overcast clouds
72,Saint George,US,37.1041,-113.5841,79.39,11,0,11.5,clear sky
73,Vila Velha,BR,-20.3297,-40.2925,75.15,81,40,9.22,scattered clouds
74,Beringovskiy,RU,63.05,179.3167,31.28,95,100,7.87,light snow
75,Yellowknife,CA,62.456,-114.3525,18.12,57,20,5.75,few clouds
76,Mponela,MW,-13.5319,33.7401,61.07,97,13,4.72,few clouds
77,Henties Bay,NA,-22.116,14.2845,61.68,77,7,1.41,clear sky
78,Mar Del Plata,AR,-38.0023,-57.5575,63.09,92,0,11.01,clear sky
79,Pochutla,MX,15.7432,-96.4661,81.82,68,14,6.89,few clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,73,88,12.3,overcast clouds
81,Charagua,BO,-19.8,-63.2167,58.1,59,11,4.92,few clouds
82,Thompson,CA,55.7435,-97.8558,24.96,46,40,0.0,scattered clouds
83,Campestre,BR,-21.7111,-46.2464,55.83,82,28,3.58,scattered clouds
84,Vostok,RU,46.4856,135.8833,38.77,51,99,9.57,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,74.21,89,14,9.46,light rain
86,Moron,AR,-34.6534,-58.6198,65.97,87,100,5.95,overcast clouds
87,Raichur,IN,16.2,77.3667,84.87,48,74,5.79,broken clouds
88,Lompoc,US,34.6391,-120.4579,61.79,78,0,14.97,clear sky
89,Sioux Lookout,CA,50.1001,-91.917,24.87,86,75,2.3,broken clouds
90,Mbeya,TZ,-8.9,33.45,57.69,97,62,4.29,broken clouds
91,Magadan,RU,59.5667,150.8,26.6,73,100,2.04,overcast clouds
92,Torbay,CA,47.6666,-52.7314,52.57,93,75,25.32,broken clouds
93,Avera,US,33.194,-82.5271,71.11,81,99,2.19,overcast clouds
94,Baruun-Urt,MN,46.6806,113.2792,55.24,27,3,16.55,clear sky
95,Norman Wells,CA,65.282,-126.8329,24.84,33,20,5.75,few clouds
96,Uyuni,BO,-20.4597,-66.825,43.7,15,0,9.13,clear sky
97,Port Alfred,ZA,-33.5906,26.891,59.18,94,47,12.37,scattered clouds
98,Bredasdorp,ZA,-34.5322,20.0403,60.62,91,100,3.65,overcast clouds
99,Hasaki,JP,35.7333,140.8333,68.29,66,100,12.03,moderate rain
100,Taber,CA,49.8167,-112.1518,38.16,44,36,6.2,scattered clouds
101,Deputatskiy,RU,69.3,139.9,9.59,91,97,4.21,overcast clouds
102,Dawson Creek,CA,55.7666,-120.2362,26.24,63,100,11.5,overcast clouds
103,Waverley,ZA,-25.7023,28.2591,58.53,97,100,2.3,overcast clouds
104,Hervey Bay,AU,-25.2986,152.8535,75.83,55,48,10.25,scattered clouds
105,Mount Gambier,AU,-37.8333,140.7667,58.91,88,100,10.36,overcast clouds
106,Aklavik,CA,68.2191,-135.0107,19.85,85,91,11.25,overcast clouds
107,Kushmurun,KZ,52.4503,64.6311,45.36,57,100,8.21,overcast clouds
108,Ballina,AU,-28.8667,153.5667,75.38,69,100,9.22,overcast clouds
109,Nuuk,GL,64.1835,-51.7216,23.88,85,100,4.0,overcast clouds
110,Kenai,US,60.5544,-151.2583,45.03,56,100,4.61,overcast clouds
111,Atambua,ID,-9.1061,124.8925,83.57,65,100,1.07,overcast clouds
112,Airai,TL,-8.9266,125.4092,73.99,60,100,1.41,overcast clouds
