City_Name,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
608,Cumana,VE,77.88,overcast clouds,10.4635,-64.1775,
610,Lodwar,KE,79.74,light rain,3.1191,35.5973,
618,Ciudad Bolivar,VE,82.49,scattered clouds,8.1222,-63.5497,
622,Champerico,GT,83.93,overcast clouds,14.3,-91.9167,
628,Malindi,KE,79.18,light rain,-3.2175,40.1191,
635,Quang Ngai,VN,82.47,broken clouds,15.1167,108.8,
636,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,
637,Finschhafen,PG,83.77,overcast clouds,-6.6024,147.8681,
640,Vao,NC,77.22,scattered clouds,-22.6667,167.4833,
645,Sainte-Suzanne,RE,75.38,scattered clouds,-20.9061,55.6089,
648,Bairiki,KI,86.0,few clouds,1.3292,172.9752,
652,Turbat,PK,84.07,clear sky,26.0023,63.044,
654,Bonthe,SL,77.31,overcast clouds,7.5264,-12.505,
660,Manokwari,ID,83.89,overcast clouds,-0.8667,134.0833,
661,Makurdi,NG,75.15,moderate rain,7.7411,8.5121,
669,Brownsville,US,79.09,broken clouds,25.9018,-97.4975,
685,Serabu,SL,76.59,overcast clouds,7.7958,-12.0536,
686,Qandala,SO,83.68,clear sky,11.472,49.8728,
688,Semut,PH,86.09,overcast clouds,6.6636,122.2189,
689,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,
694,Bambanglipuro,ID,87.67,broken clouds,-7.95,110.2833,
697,Abeche,TD,86.04,broken clouds,13.8292,20.8324,
698,Dong Xoai,VN,89.94,scattered clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
